26/07 11:33:39	0	0	916	0.5	0
26/07 11:33:49	0	0	915	0.5	0
26/07 11:34:00	0	0	915	0.5	0
26/07 11:34:10	0	0	917	0.4	0
26/07 11:34:21	0	0	909	0.4	0
26/07 11:34:33	0	0	859	4.5	0
26/07 11:34:46	0	0	917	0.4	0
26/07 11:35:18	0	0	915	0.4	0
26/07 11:35:18	0	0	915	0.4	0
26/07 11:35:18	0	0	915	0.4	0
26/07 11:35:29	0	0	915	0.3	0
26/07 11:35:39	0	0	915	0.4	0
26/07 11:35:50	4	0	915	0.2	0
26/07 11:36:00	5	0	916	0.3	0
26/07 11:36:10	8	0	916	0.4	0
26/07 11:36:21	7	0	916	0.3	0
26/07 11:36:31	3	0	917	0.4	0
26/07 11:36:42	8	0	916	0.4	0
26/07 11:36:52	2	0	916	0.4	0
26/07 11:37:03	6	0	916	0.3	0
26/07 11:37:13	7	0	916	0.3	0
26/07 11:37:24	4	0	917	0.3	0
26/07 11:37:34	8	0	917	0.4	0
26/07 11:37:45	8	0	915	0.3	0
26/07 11:37:55	2	0	917	0.4	0
26/07 11:38:06	8	0	918	0.4	0
26/07 11:38:19	0	0	917	0.4	0
26/07 11:38:32	57	0	914	0.3	0
26/07 11:38:45	58	0	914	0.4	0
26/07 11:38:56	57	0	914	0.4	0
26/07 11:39:07	57	0	915	0.2	0
26/07 11:39:17	57	0	915	0.4	0
26/07 11:39:28	57	0	914	0.4	0
26/07 11:39:38	57	0	915	0.3	0
26/07 11:39:49	57	0	914	0.2	0
26/07 11:39:59	58	0	916	0.4	0
26/07 11:40:10	59	0	916	0.4	0
26/07 11:40:21	74	0	915	0.3	0
26/07 11:40:31	0	0	915	0.3	0
26/07 11:40:42	0	0	889	0.4	0
26/07 11:40:52	0	0	918	0.3	0
26/07 11:41:03	0	0	919	0.4	0
26/07 11:41:13	0	0	921	0.4	0
26/07 11:41:24	0	0	918	0.4	0
26/07 11:41:34	0	0	917	0.2	0
26/07 11:41:45	0	0	918	0.3	0
26/07 11:42:14	0	891	4	2.4	0
26/07 11:42:24	0	908	4	2.4	0
26/07 11:42:37	0	914	4	2.4	0
